Tags	OwnerReputation	OwnerUserId	OwnerUserType	OwnerAcceptRate	OwnerProfileImage	OwnerDisplayName	OwnerLink	IsAnswered	ViewCount	AcceptedAnswerId	AnswerCount	Score	LastActivityDate	CreationDate	LastEditDate	PostId	ParentId	Link	Title	PostTypeID
javascript;jquery;html;css;ajax	11	12279519	registered		https://www.gravatar.com/avatar/10ee3397ff50176512034baa31445860?s=128&d=identicon&r=PG&f=1	shruti	https://stackoverflow.com/users/12279519/shruti	False	38		2	1	1572145164	1572127065	1572127129	58575041		https://stackoverflow.com/questions/58575041/i-cant-see-the-options-in-my-drop-down-box-on-web-page-but-can-see-it-in-elemen	I can&#39;t see the options in my drop down box on web page but can see it in element	1
javascript;jquery;html;css;ajax	41	10985518	registered		https://www.gravatar.com/avatar/84a28cc937cd6404b29ad67b1487af3f?s=128&d=identicon&r=PG&f=1	deeva	https://stackoverflow.com/users/10985518/deeva	False	62		0	0	1571899618	1571894322	1571899618	58534581		https://stackoverflow.com/questions/58534581/jquery-go-to-first-tab-on-click-of-an-image	Jquery Go to first tab on click of an image	1
javascript;jquery;html;css;ajax	41	10985518	registered		https://www.gravatar.com/avatar/84a28cc937cd6404b29ad67b1487af3f?s=128&d=identicon&r=PG&f=1	deeva	https://stackoverflow.com/users/10985518/deeva	True	49	58534061	2	2	1571893888	1571887942	1571891187	58533751		https://stackoverflow.com/questions/58533751/jquery-show-and-hides-divs-based-on-both-radio-buttons-and-select-options	Jquery show and hides divs based on both radio buttons and select options	1
javascript;jquery;html;css;ajax	17	9760945	registered		https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128	Aurazo Script	https://stackoverflow.com/users/9760945/aurazo-script	False	18		0	0	1571520551	1571520551		58468164		https://stackoverflow.com/questions/58468164/croppie-js-image-cropper-adding-rotate-function	Croppie.js Image cropper adding rotate function	1
javascript;jquery;html;css;ajax	125	11119921	registered		https://www.gravatar.com/avatar/77a8e51e9a721ee5410ce319fbf01d03?s=128&d=identicon&r=PG&f=1	Andrew	https://stackoverflow.com/users/11119921/andrew	False	35		1	1	1571313843	1571311042	1571312213	58431370		https://stackoverflow.com/questions/58431370/jquery-ajax-still-reloading-the-page-laravel-pagination	jQuery Ajax - still reloading the page - Laravel pagination	1
javascript;jquery;html;css;ajax	11986	1650012	registered	67	https://www.gravatar.com/avatar/a21bc05bb7df4e5c3cb4933e4f3072eb?s=128&d=identicon&r=PG	kramer65	https://stackoverflow.com/users/1650012/kramer65	True	5965	21585443	3	3	1569581685	1391624768		21585427		https://stackoverflow.com/questions/21585427/how-to-append-text-to-a-div-using-jquery	How to .append text to a div using jQuery?	1
javascript;jquery;html;css;ajax	105	11055696	registered		https://lh4.googleusercontent.com/-cApX1Fw-OKw/AAAAAAAAAAI/AAAAAAAAAAk/n7umGegb4h4/photo.jpg?sz=128	Joe	https://stackoverflow.com/users/11055696/joe	True	27	58132114	1	0	1569579321	1569577195	1569579321	58131901		https://stackoverflow.com/questions/58131901/how-to-delete-child-row-only-in-jquery-datatables	how to delete child row only in jquery datatables?	1
javascript;jquery;html;css;ajax	1	12096243	registered		https://i.stack.imgur.com/GWHQe.jpg?s=128&g=1	swank	https://stackoverflow.com/users/12096243/swank	False	34		2	0	1569015616	1568998817	1569014700	58032516		https://stackoverflow.com/questions/58032516/jquery-mouseover-that-rearranges-classes-within-a-div-then-resets-with-mouseleav	Jquery mouseover that rearranges classes within a div then resets with mouseleave	1
javascript;jquery;html;css;ajax	13	11588002	registered		https://www.gravatar.com/avatar/da94a258f22c10f56cacfe3553407f45?s=128&d=identicon&r=PG&f=1	B.Serg	https://stackoverflow.com/users/11588002/b-serg	True	57	57871022	4	0	1568119727	1568117451		57870534		https://stackoverflow.com/questions/57870534/track-div-class-and-data-id-in-javascript-jquery-as-an-example	track div class and data-id=&quot;&quot; in javascript (jquery) as an example	1
javascript;jquery;html;css;ajax	14	3755482	registered	25	https://www.gravatar.com/avatar/93d8df97aa038a3aafe258e44067461b?s=128&d=identicon&r=PG&f=1	user3755482	https://stackoverflow.com/users/3755482/user3755482	True	147		3	2	1568105498	1403334839	1568105498	24339296		https://stackoverflow.com/questions/24339296/how-to-show-loading-image-while-ajax-call	how to show loading image while ajax call	1
javascript;jquery;html;css;ajax	13	11890330	registered		https://lh3.googleusercontent.com/-2nvTYulgkFU/AAAAAAAAAAI/AAAAAAAAACE/YMtidQNE9lw/photo.jpg?sz=128	Muhammed Basar	https://stackoverflow.com/users/11890330/muhammed-basar	True	60	57571286	1	0	1566295696	1566295266		57571173		https://stackoverflow.com/questions/57571173/if-statement-not-working-properly-even-though-everything-is-right	If statement not working properly even though everything is right	1
